"date","value","location_name","location"
2022-02-26,21,"Colorado","08"
2022-02-26,4,"Connecticut","09"
2022-02-26,1,"District of Columbia","11"
2022-02-26,1,"Delaware","10"
2022-02-26,59,"Florida","12"
2022-02-26,27,"Georgia","13"
2022-02-26,0,"Hawaii","15"
2022-02-26,56,"Iowa","19"
2022-02-26,1,"Idaho","16"
2022-02-26,21,"Illinois","17"
2022-02-26,59,"Indiana","18"
2022-02-26,28,"Kansas","20"
2022-02-26,23,"Kentucky","21"
2022-02-26,80,"Louisiana","22"
2022-02-26,11,"Massachusetts","25"
2022-02-26,23,"Maryland","24"
2022-02-26,2,"Maine","23"
2022-02-26,74,"Michigan","26"
2022-02-26,28,"Minnesota","27"
2022-02-26,72,"Missouri","29"
2022-02-26,34,"Mississippi","28"
2022-02-26,21,"Montana","30"
2022-02-26,44,"North Carolina","37"
2022-02-26,3,"North Dakota","38"
2022-02-26,53,"Nebraska","31"
2022-02-26,2,"New Hampshire","33"
2022-02-26,33,"New Jersey","34"
2022-02-26,4,"New Mexico","35"
2022-02-26,24,"Nevada","32"
2022-02-26,57,"New York","36"
2022-02-26,53,"Ohio","39"
2022-02-26,82,"Oklahoma","40"
2022-02-26,2,"Oregon","41"
2022-02-26,68,"Pennsylvania","42"
2022-02-26,2,"Rhode Island","44"
2022-02-26,16,"South Carolina","45"
2022-02-26,30,"South Dakota","46"
2022-02-26,29,"Tennessee","47"
2022-02-26,305,"Texas","48"
2022-02-26,9,"Utah","49"
2022-02-26,27,"Virginia","51"
2022-02-26,0,"Vermont","50"
2022-02-26,13,"Washington","53"
2022-02-26,61,"Wisconsin","55"
2022-02-26,21,"West Virginia","54"
2022-02-26,4,"Wyoming","56"
2022-03-05,2,"Alaska","02"
2022-03-05,35,"Alabama","01"
2022-03-05,60,"Arkansas","05"
2022-03-05,79,"Arizona","04"
2022-03-05,40,"California","06"
2022-03-05,38,"Colorado","08"
2022-03-05,8,"Connecticut","09"
2022-03-05,4,"District of Columbia","11"
2022-03-05,7,"Delaware","10"
2022-03-05,47,"Florida","12"
2022-03-05,38,"Georgia","13"
2022-03-05,0,"Hawaii","15"
2022-03-05,54,"Iowa","19"
2022-03-05,13,"Idaho","16"
2022-03-05,34,"Illinois","17"
2022-03-05,108,"Indiana","18"
2022-03-05,40,"Kansas","20"
2022-03-05,30,"Kentucky","21"
2022-03-05,62,"Louisiana","22"
2022-03-05,23,"Massachusetts","25"
2022-03-05,16,"Maryland","24"
2022-03-05,2,"Maine","23"
2022-03-05,88,"Michigan","26"
2022-03-05,35,"Minnesota","27"
2022-03-05,67,"Missouri","29"
2022-03-05,33,"Mississippi","28"
2022-03-05,14,"Montana","30"
2022-03-05,55,"North Carolina","37"
2022-03-05,7,"North Dakota","38"
2022-03-05,43,"Nebraska","31"
2022-03-05,14,"New Hampshire","33"
2022-03-05,30,"New Jersey","34"
2022-03-05,6,"New Mexico","35"
2022-03-05,33,"Nevada","32"
2022-03-05,56,"New York","36"
2022-03-05,75,"Ohio","39"
2022-03-05,119,"Oklahoma","40"
2022-03-05,7,"Oregon","41"
2022-03-05,79,"Pennsylvania","42"
2022-03-05,0,"Rhode Island","44"
2022-03-05,14,"South Carolina","45"
2022-03-05,13,"South Dakota","46"
2022-03-05,28,"Tennessee","47"
2022-03-05,408,"Texas","48"
2022-03-05,12,"Utah","49"
2022-03-05,18,"Virginia","51"
2022-03-05,0,"Vermont","50"
2022-03-05,12,"Washington","53"
2022-03-05,41,"Wisconsin","55"
2022-03-05,21,"West Virginia","54"
2022-03-05,6,"Wyoming","56"
2022-03-12,1,"Alaska","02"
2022-03-12,23,"Alabama","01"
2022-03-12,62,"Arkansas","05"
2022-03-12,104,"Arizona","04"
2022-03-12,51,"California","06"
2022-03-12,55,"Colorado","08"
2022-03-12,18,"Connecticut","09"
2022-03-12,2,"District of Columbia","11"
2022-03-12,4,"Delaware","10"
2022-03-12,58,"Florida","12"
2022-03-12,35,"Georgia","13"
2022-03-12,1,"Hawaii","15"
2022-03-12,49,"Iowa","19"
2022-03-12,16,"Idaho","16"
2022-03-12,58,"Illinois","17"
2022-03-12,119,"Indiana","18"
2022-03-12,31,"Kansas","20"
2022-03-12,39,"Kentucky","21"
2022-03-12,64,"Louisiana","22"
2022-03-12,36,"Massachusetts","25"
2022-03-12,19,"Maryland","24"
2022-03-12,1,"Maine","23"
2022-03-12,119,"Michigan","26"
2022-03-12,29,"Minnesota","27"
2022-03-12,90,"Missouri","29"
2022-03-12,31,"Mississippi","28"
2022-03-12,16,"Montana","30"
2022-03-12,14,"North Carolina","37"
2022-03-12,5,"North Dakota","38"
2022-03-12,61,"Nebraska","31"
2022-03-12,10,"New Hampshire","33"
2022-03-12,41,"New Jersey","34"
2022-03-12,15,"New Mexico","35"
2022-03-12,41,"Nevada","32"
2022-03-12,95,"New York","36"
2022-03-12,95,"Ohio","39"
2022-03-12,162,"Oklahoma","40"
2022-03-12,18,"Oregon","41"
2022-03-12,101,"Pennsylvania","42"
2022-03-12,1,"Rhode Island","44"
2022-03-12,14,"South Carolina","45"
2022-03-12,12,"South Dakota","46"
2022-03-12,28,"Tennessee","47"
2022-03-12,592,"Texas","48"
2022-03-12,17,"Utah","49"
2022-03-12,32,"Virginia","51"
2022-03-12,0,"Vermont","50"
2022-03-12,21,"Washington","53"
2022-03-12,53,"Wisconsin","55"
2022-03-12,43,"West Virginia","54"
2022-03-12,3,"Wyoming","56"
2022-03-19,3,"Alaska","02"
2022-03-19,17,"Alabama","01"
2022-03-19,74,"Arkansas","05"
2022-03-19,120,"Arizona","04"
2022-03-19,61,"California","06"
2022-03-19,82,"Colorado","08"
2022-03-19,25,"Connecticut","09"
2022-03-19,4,"District of Columbia","11"
2022-03-19,4,"Delaware","10"
2022-03-19,84,"Florida","12"
2022-03-19,33,"Georgia","13"
2022-03-19,0,"Hawaii","15"
2022-03-19,43,"Iowa","19"
2022-03-19,14,"Idaho","16"
2022-03-19,114,"Illinois","17"
2022-03-19,125,"Indiana","18"
2022-03-19,49,"Kansas","20"
2022-03-19,42,"Kentucky","21"
2022-03-19,74,"Louisiana","22"
2022-03-19,30,"Massachusetts","25"
2022-03-19,30,"Maryland","24"
2022-03-19,3,"Maine","23"
2022-03-19,134,"Michigan","26"
2022-03-19,37,"Minnesota","27"
2022-03-19,79,"Missouri","29"
2022-03-19,48,"Mississippi","28"
2022-03-19,19,"Montana","30"
2022-03-19,23,"North Carolina","37"
2022-03-19,9,"North Dakota","38"
2022-03-19,60,"Nebraska","31"
2022-03-19,7,"New Hampshire","33"
2022-03-19,60,"New Jersey","34"
2022-03-19,36,"New Mexico","35"
2022-03-19,53,"Nevada","32"
2022-03-19,90,"New York","36"
2022-03-19,105,"Ohio","39"
2022-03-19,156,"Oklahoma","40"
2022-03-19,24,"Oregon","41"
2022-03-19,109,"Pennsylvania","42"
2022-03-19,1,"Rhode Island","44"
2022-03-19,7,"South Carolina","45"
2022-03-19,5,"South Dakota","46"
2022-03-19,43,"Tennessee","47"
2022-03-19,595,"Texas","48"
2022-03-19,6,"Utah","49"
2022-03-19,35,"Virginia","51"
2022-03-19,8,"Vermont","50"
2022-03-19,24,"Washington","53"
2022-03-19,58,"Wisconsin","55"
2022-03-19,19,"West Virginia","54"
2022-03-19,7,"Wyoming","56"
2022-03-26,0,"Alaska","02"
2022-03-26,25,"Alabama","01"
2022-03-26,56,"Arkansas","05"
2022-03-26,99,"Arizona","04"
2022-03-26,79,"California","06"
2022-03-26,121,"Colorado","08"
2022-03-26,26,"Connecticut","09"
2022-03-26,4,"District of Columbia","11"
2022-03-26,3,"Delaware","10"
2022-03-26,78,"Florida","12"
2022-03-26,45,"Georgia","13"
2022-03-26,1,"Hawaii","15"
2022-03-26,36,"Iowa","19"
2022-03-26,19,"Idaho","16"
2022-03-26,88,"Illinois","17"
2022-03-26,115,"Indiana","18"
2022-03-26,28,"Kansas","20"
2022-03-26,53,"Kentucky","21"
2022-03-26,63,"Louisiana","22"
2022-03-26,78,"Massachusetts","25"
2022-03-26,29,"Maryland","24"
2022-03-26,9,"Maine","23"
2022-03-26,146,"Michigan","26"
2022-03-26,33,"Minnesota","27"
2022-03-26,91,"Missouri","29"
2022-03-26,25,"Mississippi","28"
2022-03-26,38,"Montana","30"
2022-03-26,28,"North Carolina","37"
2022-03-26,4,"North Dakota","38"
2022-03-26,25,"Nebraska","31"
2022-03-26,6,"New Hampshire","33"
2022-03-26,80,"New Jersey","34"
2022-03-26,39,"New Mexico","35"
2022-03-26,68,"Nevada","32"
2022-03-26,163,"New York","36"
2022-03-26,97,"Ohio","39"
2022-03-26,165,"Oklahoma","40"
2022-03-26,10,"Oregon","41"
2022-03-26,140,"Pennsylvania","42"
2022-03-26,3,"Rhode Island","44"
2022-03-26,15,"South Carolina","45"
2022-03-26,5,"South Dakota","46"
2022-03-26,38,"Tennessee","47"
2022-03-26,527,"Texas","48"
2022-03-26,17,"Utah","49"
2022-03-26,39,"Virginia","51"
2022-03-26,9,"Vermont","50"
2022-03-26,20,"Washington","53"
2022-03-26,57,"Wisconsin","55"
2022-03-26,37,"West Virginia","54"
2022-03-26,2,"Wyoming","56"
2022-04-02,2,"Alaska","02"
2022-04-02,23,"Alabama","01"
2022-04-02,74,"Arkansas","05"
2022-04-02,116,"Arizona","04"
2022-04-02,96,"California","06"
2022-04-02,104,"Colorado","08"
2022-04-02,47,"Connecticut","09"
2022-04-02,2,"District of Columbia","11"
2022-04-02,7,"Delaware","10"
2022-04-02,83,"Florida","12"
2022-04-02,33,"Georgia","13"
2022-04-02,3,"Hawaii","15"
2022-04-02,25,"Iowa","19"
2022-04-02,20,"Idaho","16"
2022-04-02,105,"Illinois","17"
2022-04-02,109,"Indiana","18"
2022-04-02,32,"Kansas","20"
2022-04-02,90,"Kentucky","21"
2022-04-02,30,"Louisiana","22"
2022-04-02,131,"Massachusetts","25"
2022-04-02,47,"Maryland","24"
2022-04-02,11,"Maine","23"
2022-04-02,160,"Michigan","26"
2022-04-02,28,"Minnesota","27"
2022-04-02,77,"Missouri","29"
2022-04-02,32,"Mississippi","28"
2022-04-02,19,"Montana","30"
2022-04-02,35,"North Carolina","37"
2022-04-02,4,"North Dakota","38"
2022-04-02,35,"Nebraska","31"
2022-04-02,13,"New Hampshire","33"
2022-04-02,136,"New Jersey","34"
2022-04-02,43,"New Mexico","35"
2022-04-02,110,"Nevada","32"
2022-04-02,200,"New York","36"
2022-04-02,127,"Ohio","39"
2022-04-02,118,"Oklahoma","40"
2022-04-02,14,"Oregon","41"
2022-04-02,183,"Pennsylvania","42"
2022-04-02,5,"Rhode Island","44"
2022-04-02,18,"South Carolina","45"
2022-04-02,11,"South Dakota","46"
2022-04-02,31,"Tennessee","47"
2022-04-02,352,"Texas","48"
2022-04-02,14,"Utah","49"
2022-04-02,35,"Virginia","51"
2022-04-02,14,"Vermont","50"
2022-04-02,24,"Washington","53"
2022-04-02,44,"Wisconsin","55"
2022-04-02,36,"West Virginia","54"
2022-04-02,10,"Wyoming","56"
2022-04-09,1,"Alaska","02"
2022-04-09,11,"Alabama","01"
2022-04-09,43,"Arkansas","05"
2022-04-09,93,"Arizona","04"
2022-04-09,104,"California","06"
2022-04-09,139,"Colorado","08"
2022-04-09,45,"Connecticut","09"
2022-04-09,2,"District of Columbia","11"
2022-04-09,38,"Delaware","10"
2022-04-09,148,"Florida","12"
2022-04-09,42,"Georgia","13"
2022-04-09,9,"Hawaii","15"
2022-04-09,25,"Iowa","19"
2022-04-09,16,"Idaho","16"
2022-04-09,79,"Illinois","17"
2022-04-09,93,"Indiana","18"
2022-04-09,19,"Kansas","20"
2022-04-09,105,"Kentucky","21"
2022-04-09,48,"Louisiana","22"
2022-04-09,167,"Massachusetts","25"
2022-04-09,51,"Maryland","24"
2022-04-09,15,"Maine","23"
2022-04-09,150,"Michigan","26"
2022-04-09,27,"Minnesota","27"
2022-04-09,77,"Missouri","29"
2022-04-09,22,"Mississippi","28"
2022-04-09,14,"Montana","30"
2022-04-09,57,"North Carolina","37"
2022-04-09,7,"North Dakota","38"
2022-04-09,29,"Nebraska","31"
2022-04-09,17,"New Hampshire","33"
2022-04-09,140,"New Jersey","34"
2022-04-09,28,"New Mexico","35"
2022-04-09,88,"Nevada","32"
2022-04-09,231,"New York","36"
2022-04-09,133,"Ohio","39"
2022-04-09,100,"Oklahoma","40"
2022-04-09,14,"Oregon","41"
2022-04-09,189,"Pennsylvania","42"
2022-04-09,9,"Rhode Island","44"
2022-04-09,31,"South Carolina","45"
2022-04-09,4,"South Dakota","46"
2022-04-09,35,"Tennessee","47"
2022-04-09,330,"Texas","48"
2022-04-09,16,"Utah","49"
2022-04-09,51,"Virginia","51"
2022-04-09,12,"Vermont","50"
2022-04-09,32,"Washington","53"
2022-04-09,66,"Wisconsin","55"
2022-04-09,43,"West Virginia","54"
2022-04-09,8,"Wyoming","56"
2022-04-16,2,"Alaska","02"
2022-04-16,25,"Alabama","01"
2022-04-16,34,"Arkansas","05"
2022-04-16,131,"Arizona","04"
2022-04-16,148,"California","06"
2022-04-16,179,"Colorado","08"
2022-04-16,52,"Connecticut","09"
2022-04-16,1,"District of Columbia","11"
2022-04-16,17,"Delaware","10"
2022-04-16,141,"Florida","12"
2022-04-16,46,"Georgia","13"
2022-04-16,7,"Hawaii","15"
2022-04-16,20,"Iowa","19"
2022-04-16,17,"Idaho","16"
2022-04-16,106,"Illinois","17"
2022-04-16,64,"Indiana","18"
2022-04-16,26,"Kansas","20"
2022-04-16,82,"Kentucky","21"
2022-04-16,44,"Louisiana","22"
2022-04-16,176,"Massachusetts","25"
2022-04-16,43,"Maryland","24"
2022-04-16,20,"Maine","23"
2022-04-16,138,"Michigan","26"
2022-04-16,33,"Minnesota","27"
2022-04-16,70,"Missouri","29"
2022-04-16,16,"Mississippi","28"
2022-04-16,21,"Montana","30"
2022-04-16,45,"North Carolina","37"
2022-04-16,7,"North Dakota","38"
2022-04-16,16,"Nebraska","31"
2022-04-16,28,"New Hampshire","33"
2022-04-16,126,"New Jersey","34"
2022-04-16,43,"New Mexico","35"
2022-04-16,84,"Nevada","32"
2022-04-16,293,"New York","36"
2022-04-16,115,"Ohio","39"
2022-04-16,76,"Oklahoma","40"
2022-04-16,27,"Oregon","41"
2022-04-16,200,"Pennsylvania","42"
2022-04-16,10,"Rhode Island","44"
2022-04-16,32,"South Carolina","45"
2022-04-16,3,"South Dakota","46"
2022-04-16,34,"Tennessee","47"
2022-04-16,411,"Texas","48"
2022-04-16,9,"Utah","49"
2022-04-16,42,"Virginia","51"
2022-04-16,12,"Vermont","50"
2022-04-16,34,"Washington","53"
2022-04-16,54,"Wisconsin","55"
2022-04-16,39,"West Virginia","54"
2022-04-16,1,"Wyoming","56"
2022-04-23,1,"Alaska","02"
2022-04-23,9,"Alabama","01"
2022-04-23,33,"Arkansas","05"
2022-04-23,156,"Arizona","04"
2022-04-23,213,"California","06"
2022-04-23,163,"Colorado","08"
2022-04-23,57,"Connecticut","09"
2022-04-23,3,"District of Columbia","11"
2022-04-23,7,"Delaware","10"
2022-04-23,164,"Florida","12"
2022-04-23,36,"Georgia","13"
2022-04-23,4,"Hawaii","15"
2022-04-23,17,"Iowa","19"
2022-04-23,15,"Idaho","16"
2022-04-23,97,"Illinois","17"
2022-04-23,72,"Indiana","18"
2022-04-23,19,"Kansas","20"
2022-04-23,119,"Kentucky","21"
2022-04-23,24,"Louisiana","22"
2022-04-23,183,"Massachusetts","25"
2022-04-23,51,"Maryland","24"
2022-04-23,30,"Maine","23"
2022-04-23,136,"Michigan","26"
2022-04-23,29,"Minnesota","27"
2022-04-23,55,"Missouri","29"
2022-04-23,26,"Mississippi","28"
2022-04-23,18,"Montana","30"
2022-04-23,63,"North Carolina","37"
2022-04-23,3,"North Dakota","38"
2022-04-23,16,"Nebraska","31"
2022-04-23,24,"New Hampshire","33"
2022-04-23,125,"New Jersey","34"
2022-04-23,51,"New Mexico","35"
2022-04-23,59,"Nevada","32"
2022-04-23,275,"New York","36"
2022-04-23,104,"Ohio","39"
2022-04-23,45,"Oklahoma","40"
2022-04-23,23,"Oregon","41"
2022-04-23,160,"Pennsylvania","42"
2022-04-23,5,"Rhode Island","44"
2022-04-23,29,"South Carolina","45"
2022-04-23,8,"South Dakota","46"
2022-04-23,35,"Tennessee","47"
2022-04-23,171,"Texas","48"
2022-04-23,1,"Utah","49"
2022-04-23,57,"Virginia","51"
2022-04-23,6,"Vermont","50"
2022-04-23,42,"Washington","53"
2022-04-23,64,"Wisconsin","55"
2022-04-23,35,"West Virginia","54"
2022-04-23,5,"Wyoming","56"
2022-04-30,6,"Alaska","02"
2022-04-30,19,"Alabama","01"
2022-04-30,17,"Arkansas","05"
2022-04-30,170,"Arizona","04"
2022-04-30,206,"California","06"
2022-04-30,258,"Colorado","08"
2022-04-30,76,"Connecticut","09"
2022-04-30,2,"District of Columbia","11"
2022-04-30,4,"Delaware","10"
2022-04-30,213,"Florida","12"
2022-04-30,44,"Georgia","13"
2022-04-30,2,"Hawaii","15"
2022-04-30,20,"Iowa","19"
2022-04-30,13,"Idaho","16"
2022-04-30,108,"Illinois","17"
2022-04-30,49,"Indiana","18"
2022-04-30,8,"Kansas","20"
2022-04-30,109,"Kentucky","21"
2022-04-30,35,"Louisiana","22"
2022-04-30,174,"Massachusetts","25"
2022-04-30,46,"Maryland","24"
2022-04-30,8,"Maine","23"
2022-04-30,169,"Michigan","26"
2022-04-30,32,"Minnesota","27"
2022-04-30,66,"Missouri","29"
2022-04-30,22,"Mississippi","28"
2022-04-30,20,"Montana","30"
2022-04-30,51,"North Carolina","37"
2022-04-30,1,"North Dakota","38"
2022-04-30,6,"Nebraska","31"
2022-04-30,21,"New Hampshire","33"
2022-04-30,119,"New Jersey","34"
2022-04-30,70,"New Mexico","35"
2022-04-30,59,"Nevada","32"
2022-04-30,241,"New York","36"
2022-04-30,99,"Ohio","39"
2022-04-30,34,"Oklahoma","40"
2022-04-30,27,"Oregon","41"
2022-04-30,149,"Pennsylvania","42"
2022-04-30,6,"Rhode Island","44"
2022-04-30,20,"South Carolina","45"
2022-04-30,3,"South Dakota","46"
2022-04-30,18,"Tennessee","47"
2022-04-30,131,"Texas","48"
2022-04-30,12,"Utah","49"
2022-04-30,44,"Virginia","51"
2022-04-30,7,"Vermont","50"
2022-04-30,60,"Washington","53"
2022-04-30,51,"Wisconsin","55"
2022-04-30,18,"West Virginia","54"
2022-04-30,4,"Wyoming","56"
2022-05-07,3,"Alaska","02"
2022-05-07,12,"Alabama","01"
2022-05-07,28,"Arkansas","05"
2022-05-07,194,"Arizona","04"
2022-05-07,277,"California","06"
2022-05-07,173,"Colorado","08"
2022-05-07,70,"Connecticut","09"
2022-05-07,5,"District of Columbia","11"
2022-05-07,3,"Delaware","10"
2022-05-07,278,"Florida","12"
2022-05-07,60,"Georgia","13"
2022-05-07,3,"Hawaii","15"
2022-05-07,17,"Iowa","19"
2022-05-07,16,"Idaho","16"
2022-05-07,123,"Illinois","17"
2022-05-07,35,"Indiana","18"
2022-05-07,7,"Kansas","20"
2022-05-07,47,"Kentucky","21"
2022-05-07,32,"Louisiana","22"
2022-05-07,162,"Massachusetts","25"
2022-05-07,54,"Maryland","24"
2022-05-07,37,"Maine","23"
2022-05-07,180,"Michigan","26"
2022-05-07,17,"Minnesota","27"
2022-05-07,39,"Missouri","29"
2022-05-07,25,"Mississippi","28"
2022-05-07,9,"Montana","30"
2022-05-07,37,"North Carolina","37"
2022-05-07,1,"North Dakota","38"
2022-05-07,4,"Nebraska","31"
2022-05-07,14,"New Hampshire","33"
2022-05-07,95,"New Jersey","34"
2022-05-07,37,"New Mexico","35"
2022-05-07,79,"Nevada","32"
2022-05-07,193,"New York","36"
2022-05-07,79,"Ohio","39"
2022-05-07,47,"Oklahoma","40"
2022-05-07,26,"Oregon","41"
2022-05-07,179,"Pennsylvania","42"
2022-05-07,8,"Rhode Island","44"
2022-05-07,27,"South Carolina","45"
2022-05-07,19,"South Dakota","46"
2022-05-07,30,"Tennessee","47"
2022-05-07,144,"Texas","48"
2022-05-07,10,"Utah","49"
2022-05-07,41,"Virginia","51"
2022-05-07,3,"Vermont","50"
2022-05-07,57,"Washington","53"
2022-05-07,36,"Wisconsin","55"
2022-05-07,16,"West Virginia","54"
2022-05-07,4,"Wyoming","56"
2022-05-14,18,"Alaska","02"
2022-05-14,15,"Alabama","01"
2022-05-14,15,"Arkansas","05"
2022-05-14,225,"Arizona","04"
2022-05-14,355,"California","06"
2022-05-14,120,"Colorado","08"
2022-05-14,75,"Connecticut","09"
2022-05-14,4,"District of Columbia","11"
2022-05-14,4,"Delaware","10"
2022-05-14,371,"Florida","12"
2022-05-14,55,"Georgia","13"
2022-05-14,11,"Hawaii","15"
2022-05-14,10,"Iowa","19"
2022-05-14,12,"Idaho","16"
2022-05-14,98,"Illinois","17"
2022-05-14,45,"Indiana","18"
2022-05-14,7,"Kansas","20"
2022-05-14,41,"Kentucky","21"
2022-05-14,36,"Louisiana","22"
2022-05-14,147,"Massachusetts","25"
2022-05-14,45,"Maryland","24"
2022-05-14,36,"Maine","23"
2022-05-14,140,"Michigan","26"
2022-05-14,13,"Minnesota","27"
2022-05-14,33,"Missouri","29"
2022-05-14,31,"Mississippi","28"
2022-05-14,11,"Montana","30"
2022-05-14,45,"North Carolina","37"
2022-05-14,1,"North Dakota","38"
2022-05-14,7,"Nebraska","31"
2022-05-14,13,"New Hampshire","33"
2022-05-14,87,"New Jersey","34"
2022-05-14,64,"New Mexico","35"
2022-05-14,99,"Nevada","32"
2022-05-14,194,"New York","36"
2022-05-14,66,"Ohio","39"
2022-05-14,29,"Oklahoma","40"
2022-05-14,36,"Oregon","41"
2022-05-14,158,"Pennsylvania","42"
2022-05-14,6,"Rhode Island","44"
2022-05-14,37,"South Carolina","45"
2022-05-14,5,"South Dakota","46"
2022-05-14,15,"Tennessee","47"
2022-05-14,129,"Texas","48"
2022-05-14,7,"Utah","49"
