"location","location_name","value_inc","target_end_date"
"US","National",2247,2022-03-12
"49","Utah",14,2022-03-12
"51","Virginia",33,2022-03-12
"50","Vermont",0,2022-03-12
"53","Washington",14,2022-03-12
"55","Wisconsin",46,2022-03-12
"54","West Virginia",27,2022-03-12
"56","Wyoming",4,2022-03-12
"02","Alaska",1,2022-03-19
"01","Alabama",30,2022-03-19
"05","Arkansas",67,2022-03-19
"04","Arizona",113,2022-03-19
"06","California",57,2022-03-19
"08","Colorado",60,2022-03-19
"09","Connecticut",18,2022-03-19
"11","District of Columbia",4,2022-03-19
"10","Delaware",6,2022-03-19
"12","Florida",73,2022-03-19
"13","Georgia",34,2022-03-19
"15","Hawaii",1,2022-03-19
"19","Iowa",43,2022-03-19
"16","Idaho",15,2022-03-19
"17","Illinois",74,2022-03-19
"18","Indiana",124,2022-03-19
"20","Kansas",32,2022-03-19
"21","Kentucky",43,2022-03-19
"22","Louisiana",50,2022-03-19
"25","Massachusetts",44,2022-03-19
"24","Maryland",30,2022-03-19
"23","Maine",1,2022-03-19
"26","Michigan",131,2022-03-19
"27","Minnesota",29,2022-03-19
"29","Missouri",96,2022-03-19
"28","Mississippi",36,2022-03-19
"30","Montana",17,2022-03-19
"37","North Carolina",15,2022-03-19
"38","North Dakota",4,2022-03-19
"31","Nebraska",70,2022-03-19
"33","New Hampshire",8,2022-03-19
"34","New Jersey",52,2022-03-19
"35","New Mexico",17,2022-03-19
"32","Nevada",38,2022-03-19
"36","New York",101,2022-03-19
"39","Ohio",104,2022-03-19
"40","Oklahoma",167,2022-03-19
"41","Oregon",19,2022-03-19
"42","Pennsylvania",120,2022-03-19
"72","Puerto Rico",22,2022-03-19
"44","Rhode Island",1,2022-03-19
"45","South Carolina",23,2022-03-19
"46","South Dakota",10,2022-03-19
"47","Tennessee",40,2022-03-19
"48","Texas",663,2022-03-19
"US","National",2879,2022-03-19
"49","Utah",18,2022-03-19
"51","Virginia",37,2022-03-19
"50","Vermont",0,2022-03-19
"53","Washington",19,2022-03-19
"55","Wisconsin",50,2022-03-19
"54","West Virginia",48,2022-03-19
"56","Wyoming",4,2022-03-19
"02","Alaska",3,2022-03-26
"01","Alabama",25,2022-03-26
"05","Arkansas",89,2022-03-26
"04","Arizona",131,2022-03-26
"06","California",63,2022-03-26
"08","Colorado",94,2022-03-26
"09","Connecticut",25,2022-03-26
"11","District of Columbia",2,2022-03-26
"10","Delaware",7,2022-03-26
"12","Florida",109,2022-03-26
"13","Georgia",33,2022-03-26
"15","Hawaii",0,2022-03-26
"19","Iowa",42,2022-03-26
"16","Idaho",15,2022-03-26
"17","Illinois",105,2022-03-26
"18","Indiana",125,2022-03-26
"20","Kansas",44,2022-03-26
"21","Kentucky",39,2022-03-26
"22","Louisiana",42,2022-03-26
"25","Massachusetts",44,2022-03-26
"24","Maryland",28,2022-03-26
"23","Maine",3,2022-03-26
"26","Michigan",125,2022-03-26
"27","Minnesota",37,2022-03-26
"29","Missouri",84,2022-03-26
"28","Mississippi",38,2022-03-26
"30","Montana",21,2022-03-26
"37","North Carolina",25,2022-03-26
"38","North Dakota",5,2022-03-26
"31","Nebraska",50,2022-03-26
"33","New Hampshire",9,2022-03-26
"34","New Jersey",63,2022-03-26
"35","New Mexico",43,2022-03-26
"32","Nevada",45,2022-03-26
"36","New York",87,2022-03-26
"39","Ohio",106,2022-03-26
"40","Oklahoma",163,2022-03-26
"41","Oregon",23,2022-03-26
"42","Pennsylvania",113,2022-03-26
"72","Puerto Rico",39,2022-03-26
"44","Rhode Island",1,2022-03-26
"45","South Carolina",15,2022-03-26
"46","South Dakota",5,2022-03-26
"47","Tennessee",45,2022-03-26
"48","Texas",630,2022-03-26
"US","National",3010,2022-03-26
"49","Utah",8,2022-03-26
"51","Virginia",44,2022-03-26
"50","Vermont",8,2022-03-26
"53","Washington",25,2022-03-26
"55","Wisconsin",58,2022-03-26
"54","West Virginia",21,2022-03-26
"56","Wyoming",6,2022-03-26
"02","Alaska",0,2022-04-02
"01","Alabama",32,2022-04-02
"05","Arkansas",59,2022-04-02
"04","Arizona",108,2022-04-02
"06","California",84,2022-04-02
"08","Colorado",117,2022-04-02
"09","Connecticut",30,2022-04-02
"11","District of Columbia",4,2022-04-02
"10","Delaware",4,2022-04-02
"12","Florida",96,2022-04-02
"13","Georgia",46,2022-04-02
"15","Hawaii",1,2022-04-02
"19","Iowa",37,2022-04-02
"16","Idaho",21,2022-04-02
"17","Illinois",100,2022-04-02
"18","Indiana",113,2022-04-02
"20","Kansas",28,2022-04-02
"21","Kentucky",65,2022-04-02
"22","Louisiana",46,2022-04-02
"25","Massachusetts",100,2022-04-02
"24","Maryland",31,2022-04-02
"23","Maine",10,2022-04-02
"26","Michigan",173,2022-04-02
"27","Minnesota",34,2022-04-02
"29","Missouri",97,2022-04-02
"28","Mississippi",20,2022-04-02
"30","Montana",36,2022-04-02
"37","North Carolina",37,2022-04-02
"38","North Dakota",3,2022-04-02
"31","Nebraska",22,2022-04-02
"33","New Hampshire",9,2022-04-02
"34","New Jersey",94,2022-04-02
"35","New Mexico",40,2022-04-02
"32","Nevada",60,2022-04-02
"36","New York",180,2022-04-02
"39","Ohio",100,2022-04-02
"40","Oklahoma",164,2022-04-02
"41","Oregon",10,2022-04-02
"42","Pennsylvania",153,2022-04-02
"72","Puerto Rico",38,2022-04-02
"44","Rhode Island",3,2022-04-02
"45","South Carolina",23,2022-04-02
"46","South Dakota",9,2022-04-02
"47","Tennessee",48,2022-04-02
"48","Texas",507,2022-04-02
"US","National",3183,2022-04-02
"49","Utah",18,2022-04-02
"51","Virginia",45,2022-04-02
"50","Vermont",6,2022-04-02
"53","Washington",19,2022-04-02
"55","Wisconsin",55,2022-04-02
"54","West Virginia",44,2022-04-02
"56","Wyoming",4,2022-04-02
"02","Alaska",2,2022-04-09
"01","Alabama",29,2022-04-09
"05","Arkansas",83,2022-04-09
"04","Arizona",112,2022-04-09
"06","California",106,2022-04-09
"08","Colorado",105,2022-04-09
"09","Connecticut",44,2022-04-09
"11","District of Columbia",2,2022-04-09
"10","Delaware",14,2022-04-09
"12","Florida",103,2022-04-09
"13","Georgia",31,2022-04-09
"15","Hawaii",4,2022-04-09
"19","Iowa",21,2022-04-09
"16","Idaho",17,2022-04-09
"17","Illinois",103,2022-04-09
"18","Indiana",117,2022-04-09
"20","Kansas",34,2022-04-09
"21","Kentucky",88,2022-04-09
"22","Louisiana",28,2022-04-09
"25","Massachusetts",156,2022-04-09
"24","Maryland",57,2022-04-09
"23","Maine",11,2022-04-09
"26","Michigan",176,2022-04-09
"27","Minnesota",24,2022-04-09
"29","Missouri",78,2022-04-09
"28","Mississippi",34,2022-04-09
"30","Montana",18,2022-04-09
"37","North Carolina",45,2022-04-09
"38","North Dakota",5,2022-04-09
"31","Nebraska",35,2022-04-09
"33","New Hampshire",16,2022-04-09
"34","New Jersey",152,2022-04-09
"35","New Mexico",42,2022-04-09
"32","Nevada",98,2022-04-09
"36","New York",191,2022-04-09
"39","Ohio",135,2022-04-09
"40","Oklahoma",117,2022-04-09
"41","Oregon",15,2022-04-09
"42","Pennsylvania",207,2022-04-09
"72","Puerto Rico",40,2022-04-09
"44","Rhode Island",6,2022-04-09
"45","South Carolina",32,2022-04-09
"46","South Dakota",10,2022-04-09
"47","Tennessee",36,2022-04-09
"48","Texas",357,2022-04-09
"US","National",3333,2022-04-09
"49","Utah",13,2022-04-09
"51","Virginia",46,2022-04-09
"50","Vermont",12,2022-04-09
"53","Washington",26,2022-04-09
"55","Wisconsin",50,2022-04-09
"54","West Virginia",42,2022-04-09
"56","Wyoming",8,2022-04-09
"02","Alaska",2,2022-04-16
"01","Alabama",19,2022-04-16
"05","Arkansas",50,2022-04-16
"04","Arizona",101,2022-04-16
"06","California",100,2022-04-16
"08","Colorado",146,2022-04-16
"09","Connecticut",51,2022-04-16
"11","District of Columbia",2,2022-04-16
"10","Delaware",41,2022-04-16
"12","Florida",165,2022-04-16
"13","Georgia",41,2022-04-16
"15","Hawaii",10,2022-04-16
"19","Iowa",28,2022-04-16
"16","Idaho",19,2022-04-16
"17","Illinois",92,2022-04-16
"18","Indiana",81,2022-04-16
"20","Kansas",21,2022-04-16
"21","Kentucky",92,2022-04-16
"22","Louisiana",41,2022-04-16
"25","Massachusetts",166,2022-04-16
"24","Maryland",48,2022-04-16
"23","Maine",15,2022-04-16
"26","Michigan",139,2022-04-16
"27","Minnesota",28,2022-04-16
"29","Missouri",78,2022-04-16
"28","Mississippi",23,2022-04-16
"30","Montana",18,2022-04-16
"37","North Carolina",53,2022-04-16
"38","North Dakota",7,2022-04-16
"31","Nebraska",29,2022-04-16
"33","New Hampshire",19,2022-04-16
"34","New Jersey",130,2022-04-16
"35","New Mexico",28,2022-04-16
"32","Nevada",75,2022-04-16
"36","New York",245,2022-04-16
"39","Ohio",123,2022-04-16
"40","Oklahoma",107,2022-04-16
"41","Oregon",15,2022-04-16
"42","Pennsylvania",207,2022-04-16
"72","Puerto Rico",77,2022-04-16
"44","Rhode Island",10,2022-04-16
"45","South Carolina",31,2022-04-16
"46","South Dakota",4,2022-04-16
"47","Tennessee",45,2022-04-16
"48","Texas",351,2022-04-16
"US","National",3417,2022-04-16
"49","Utah",17,2022-04-16
"51","Virginia",56,2022-04-16
"50","Vermont",8,2022-04-16
"53","Washington",37,2022-04-16
"55","Wisconsin",69,2022-04-16
"54","West Virginia",49,2022-04-16
"56","Wyoming",8,2022-04-16
"02","Alaska",1,2022-04-23
"01","Alabama",30,2022-04-23
"05","Arkansas",37,2022-04-23
"04","Arizona",147,2022-04-23
"06","California",165,2022-04-23
"08","Colorado",187,2022-04-23
"09","Connecticut",50,2022-04-23
"11","District of Columbia",1,2022-04-23
"10","Delaware",18,2022-04-23
"12","Florida",163,2022-04-23
"13","Georgia",44,2022-04-23
"15","Hawaii",6,2022-04-23
"19","Iowa",20,2022-04-23
"16","Idaho",14,2022-04-23
"17","Illinois",126,2022-04-23
"18","Indiana",66,2022-04-23
"20","Kansas",30,2022-04-23
"21","Kentucky",87,2022-04-23
"22","Louisiana",40,2022-04-23
"25","Massachusetts",188,2022-04-23
"24","Maryland",43,2022-04-23
"23","Maine",28,2022-04-23
"26","Michigan",147,2022-04-23
"27","Minnesota",36,2022-04-23
"29","Missouri",70,2022-04-23
"28","Mississippi",20,2022-04-23
"30","Montana",19,2022-04-23
"37","North Carolina",56,2022-04-23
"38","North Dakota",5,2022-04-23
"31","Nebraska",19,2022-04-23
"33","New Hampshire",32,2022-04-23
"34","New Jersey",131,2022-04-23
"35","New Mexico",48,2022-04-23
"32","Nevada",76,2022-04-23
"36","New York",302,2022-04-23
"39","Ohio",136,2022-04-23
"40","Oklahoma",76,2022-04-23
"41","Oregon",29,2022-04-23
"42","Pennsylvania",213,2022-04-23
"72","Puerto Rico",118,2022-04-23
"44","Rhode Island",8,2022-04-23
"45","South Carolina",36,2022-04-23
"46","South Dakota",7,2022-04-23
"47","Tennessee",39,2022-04-23
"48","Texas",337,2022-04-23
"US","National",3646,2022-04-23
"49","Utah",8,2022-04-23
"51","Virginia",51,2022-04-23
"50","Vermont",8,2022-04-23
"53","Washington",35,2022-04-23
"55","Wisconsin",51,2022-04-23
"54","West Virginia",41,2022-04-23
"56","Wyoming",1,2022-04-23
"02","Alaska",3,2022-04-30
"01","Alabama",13,2022-04-30
"05","Arkansas",32,2022-04-30
"04","Arizona",162,2022-04-30
"06","California",218,2022-04-30
"08","Colorado",168,2022-04-30
"09","Connecticut",57,2022-04-30
"11","District of Columbia",4,2022-04-30
"10","Delaware",6,2022-04-30
"12","Florida",179,2022-04-30
"13","Georgia",41,2022-04-30
"15","Hawaii",4,2022-04-30
"19","Iowa",15,2022-04-30
"16","Idaho",15,2022-04-30
"17","Illinois",99,2022-04-30
"18","Indiana",73,2022-04-30
"20","Kansas",20,2022-04-30
"21","Kentucky",90,2022-04-30
"22","Louisiana",19,2022-04-30
"25","Massachusetts",182,2022-04-30
"24","Maryland",57,2022-04-30
"23","Maine",23,2022-04-30
"26","Michigan",140,2022-04-30
"27","Minnesota",29,2022-04-30
"29","Missouri",59,2022-04-30
"28","Mississippi",26,2022-04-30
"30","Montana",17,2022-04-30
"37","North Carolina",60,2022-04-30
"38","North Dakota",2,2022-04-30
"31","Nebraska",14,2022-04-30
"33","New Hampshire",30,2022-04-30
"34","New Jersey",129,2022-04-30
"35","New Mexico",55,2022-04-30
"32","Nevada",54,2022-04-30
"36","New York",265,2022-04-30
"39","Ohio",100,2022-04-30
"40","Oklahoma",43,2022-04-30
"41","Oregon",20,2022-04-30
"42","Pennsylvania",169,2022-04-30
"72","Puerto Rico",46,2022-04-30
"44","Rhode Island",5,2022-04-30
"45","South Carolina",40,2022-04-30
"46","South Dakota",8,2022-04-30
"47","Tennessee",46,2022-04-30
"48","Texas",191,2022-04-30
"US","National",3252,2022-04-30
"49","Utah",3,2022-04-30
"51","Virginia",66,2022-04-30
"50","Vermont",6,2022-04-30
"53","Washington",41,2022-04-30
"55","Wisconsin",65,2022-04-30
"54","West Virginia",38,2022-04-30
"56","Wyoming",5,2022-04-30
"02","Alaska",4,2022-05-07
"01","Alabama",25,2022-05-07
"05","Arkansas",23,2022-05-07
"04","Arizona",176,2022-05-07
"06","California",202,2022-05-07
"08","Colorado",260,2022-05-07
"09","Connecticut",76,2022-05-07
"11","District of Columbia",1,2022-05-07
"10","Delaware",7,2022-05-07
"12","Florida",223,2022-05-07
"13","Georgia",43,2022-05-07
"15","Hawaii",1,2022-05-07
"19","Iowa",21,2022-05-07
"16","Idaho",15,2022-05-07
"17","Illinois",114,2022-05-07
"18","Indiana",47,2022-05-07
"20","Kansas",15,2022-05-07
"21","Kentucky",64,2022-05-07
"22","Louisiana",24,2022-05-07
"25","Massachusetts",184,2022-05-07
"24","Maryland",46,2022-05-07
"23","Maine",10,2022-05-07
"26","Michigan",174,2022-05-07
"27","Minnesota",30,2022-05-07
"29","Missouri",68,2022-05-07
"28","Mississippi",21,2022-05-07
"30","Montana",21,2022-05-07
"37","North Carolina",51,2022-05-07
"38","North Dakota",1,2022-05-07
"31","Nebraska",4,2022-05-07
"33","New Hampshire",26,2022-05-07
"34","New Jersey",116,2022-05-07
"35","New Mexico",69,2022-05-07
"32","Nevada",44,2022-05-07
"36","New York",239,2022-05-07
"39","Ohio",104,2022-05-07
"40","Oklahoma",35,2022-05-07
"41","Oregon",30,2022-05-07
"42","Pennsylvania",156,2022-05-07
"72","Puerto Rico",31,2022-05-07
"44","Rhode Island",6,2022-05-07
"45","South Carolina",23,2022-05-07
"46","South Dakota",4,2022-05-07
"47","Tennessee",23,2022-05-07
"48","Texas",165,2022-05-07
"US","National",3226,2022-05-07
"49","Utah",17,2022-05-07
"51","Virginia",47,2022-05-07
"50","Vermont",7,2022-05-07
"53","Washington",58,2022-05-07
"55","Wisconsin",46,2022-05-07
"54","West Virginia",23,2022-05-07
"56","Wyoming",6,2022-05-07
"02","Alaska",5,2022-05-14
"01","Alabama",15,2022-05-14
"05","Arkansas",22,2022-05-14
"04","Arizona",212,2022-05-14
"06","California",308,2022-05-14
"08","Colorado",171,2022-05-14
"09","Connecticut",79,2022-05-14
"11","District of Columbia",5,2022-05-14
"10","Delaware",4,2022-05-14
"12","Florida",306,2022-05-14
"13","Georgia",43,2022-05-14
"15","Hawaii",4,2022-05-14
"19","Iowa",17,2022-05-14
"16","Idaho",16,2022-05-14
"17","Illinois",128,2022-05-14
"18","Indiana",42,2022-05-14
"20","Kansas",10,2022-05-14
"21","Kentucky",40,2022-05-14
"22","Louisiana",20,2022-05-14
"25","Massachusetts",172,2022-05-14
"24","Maryland",61,2022-05-14
"23","Maine",41,2022-05-14
"26","Michigan",184,2022-05-14
"27","Minnesota",15,2022-05-14
"29","Missouri",39,2022-05-14
"28","Mississippi",30,2022-05-14
"30","Montana",11,2022-05-14
"37","North Carolina",47,2022-05-14
"38","North Dakota",1,2022-05-14
"31","Nebraska",4,2022-05-14
"33","New Hampshire",15,2022-05-14
"34","New Jersey",108,2022-05-14
"35","New Mexico",34,2022-05-14
"32","Nevada",82,2022-05-14
"36","New York",201,2022-05-14
"39","Ohio",82,2022-05-14
"40","Oklahoma",51,2022-05-14
"41","Oregon",30,2022-05-14
"42","Pennsylvania",186,2022-05-14
"72","Puerto Rico",36,2022-05-14
"44","Rhode Island",10,2022-05-14
"45","South Carolina",36,2022-05-14
"46","South Dakota",10,2022-05-14
"47","Tennessee",33,2022-05-14
"48","Texas",156,2022-05-14
"US","National",3300,2022-05-14
"49","Utah",11,2022-05-14
"51","Virginia",47,2022-05-14
"50","Vermont",3,2022-05-14
"53","Washington",54,2022-05-14
"55","Wisconsin",36,2022-05-14
"54","West Virginia",23,2022-05-14
"56","Wyoming",4,2022-05-14
"02","Alaska",17,2022-05-21
"01","Alabama",12,2022-05-21
"05","Arkansas",16,2022-05-21
"04","Arizona",237,2022-05-21
"06","California",386,2022-05-21
"08","Colorado",110,2022-05-21
"09","Connecticut",63,2022-05-21
"11","District of Columbia",4,2022-05-21
"10","Delaware",4,2022-05-21
"12","Florida",406,2022-05-21
"13","Georgia",49,2022-05-21
"15","Hawaii",10,2022-05-21
"19","Iowa",10,2022-05-21
"16","Idaho",13,2022-05-21
"17","Illinois",93,2022-05-21
"18","Indiana",44,2022-05-21
"20","Kansas",8,2022-05-21
"21","Kentucky",45,2022-05-21
"22","Louisiana",17,2022-05-21
"25","Massachusetts",145,2022-05-21
"24","Maryland",46,2022-05-21
"23","Maine",31,2022-05-21
"26","Michigan",133,2022-05-21
"27","Minnesota",12,2022-05-21
"29","Missouri",37,2022-05-21
"28","Mississippi",27,2022-05-21
"30","Montana",7,2022-05-21
"37","North Carolina",54,2022-05-21
"38","North Dakota",1,2022-05-21
"31","Nebraska",7,2022-05-21
"33","New Hampshire",14,2022-05-21
"34","New Jersey",82,2022-05-21
"35","New Mexico",69,2022-05-21
"32","Nevada",87,2022-05-21
"36","New York",177,2022-05-21
"39","Ohio",61,2022-05-21
"40","Oklahoma",36,2022-05-21
"41","Oregon",38,2022-05-21
"42","Pennsylvania",151,2022-05-21
"72","Puerto Rico",25,2022-05-21
"44","Rhode Island",5,2022-05-21
"45","South Carolina",44,2022-05-21
"46","South Dakota",6,2022-05-21
"47","Tennessee",24,2022-05-21
"48","Texas",149,2022-05-21
"US","National",3172,2022-05-21
"49","Utah",7,2022-05-21
"51","Virginia",42,2022-05-21
"50","Vermont",0,2022-05-21
"53","Washington",65,2022-05-21
"55","Wisconsin",28,2022-05-21
"54","West Virginia",14,2022-05-21
"56","Wyoming",4,2022-05-21
"02","Alaska",3,2022-05-28
"01","Alabama",22,2022-05-28
"05","Arkansas",16,2022-05-28
"04","Arizona",196,2022-05-28
"06","California",405,2022-05-28
"08","Colorado",91,2022-05-28
"09","Connecticut",34,2022-05-28
"11","District of Columbia",6,2022-05-28
"10","Delaware",4,2022-05-28
"12","Florida",542,2022-05-28
"13","Georgia",64,2022-05-28
"15","Hawaii",9,2022-05-28
"19","Iowa",6,2022-05-28
"16","Idaho",7,2022-05-28
"17","Illinois",49,2022-05-28
"18","Indiana",33,2022-05-28
"20","Kansas",2,2022-05-28
"21","Kentucky",24,2022-05-28
"22","Louisiana",10,2022-05-28
"25","Massachusetts",86,2022-05-28
"24","Maryland",32,2022-05-28
"23","Maine",16,2022-05-28
"26","Michigan",89,2022-05-28
"27","Minnesota",14,2022-05-28
"29","Missouri",20,2022-05-28
"28","Mississippi",22,2022-05-28
"30","Montana",14,2022-05-28
"37","North Carolina",34,2022-05-28
"38","North Dakota",0,2022-05-28
"31","Nebraska",3,2022-05-28
"33","New Hampshire",10,2022-05-28
"34","New Jersey",79,2022-05-28
"35","New Mexico",50,2022-05-28
"32","Nevada",76,2022-05-28
"36","New York",169,2022-05-28
"39","Ohio",47,2022-05-28
"40","Oklahoma",35,2022-05-28
"41","Oregon",29,2022-05-28
"42","Pennsylvania",85,2022-05-28
"72","Puerto Rico",26,2022-05-28
"44","Rhode Island",6,2022-05-28
"45","South Carolina",35,2022-05-28
"46","South Dakota",3,2022-05-28
"47","Tennessee",22,2022-05-28
"48","Texas",138,2022-05-28
"US","National",2800,2022-05-28
"49","Utah",1,2022-05-28
"51","Virginia",39,2022-05-28
"50","Vermont",2,2022-05-28
"53","Washington",57,2022-05-28
"55","Wisconsin",24,2022-05-28
"54","West Virginia",8,2022-05-28
"56","Wyoming",6,2022-05-28
"02","Alaska",2,2022-06-04
"01","Alabama",19,2022-06-04
"05","Arkansas",21,2022-06-04
"04","Arizona",204,2022-06-04
"06","California",453,2022-06-04
"08","Colorado",72,2022-06-04
"09","Connecticut",20,2022-06-04
"11","District of Columbia",4,2022-06-04
"10","Delaware",9,2022-06-04
"12","Florida",680,2022-06-04
"13","Georgia",63,2022-06-04
"15","Hawaii",4,2022-06-04
"19","Iowa",5,2022-06-04
"16","Idaho",11,2022-06-04
"17","Illinois",41,2022-06-04
"18","Indiana",25,2022-06-04
"20","Kansas",3,2022-06-04
"21","Kentucky",24,2022-06-04
"22","Louisiana",16,2022-06-04
"25","Massachusetts",50,2022-06-04
"24","Maryland",18,2022-06-04
"23","Maine",12,2022-06-04
"26","Michigan",57,2022-06-04
"27","Minnesota",4,2022-06-04
"29","Missouri",33,2022-06-04
"28","Mississippi",23,2022-06-04
"30","Montana",22,2022-06-04
"37","North Carolina",30,2022-06-04
"38","North Dakota",3,2022-06-04
"31","Nebraska",9,2022-06-04
"33","New Hampshire",8,2022-06-04
"34","New Jersey",48,2022-06-04
"35","New Mexico",54,2022-06-04
"32","Nevada",64,2022-06-04
"36","New York",119,2022-06-04
"39","Ohio",41,2022-06-04
"40","Oklahoma",37,2022-06-04
"41","Oregon",29,2022-06-04
"42","Pennsylvania",63,2022-06-04
"72","Puerto Rico",26,2022-06-04
"44","Rhode Island",6,2022-06-04
"45","South Carolina",32,2022-06-04
"46","South Dakota",1,2022-06-04
"47","Tennessee",22,2022-06-04
"48","Texas",125,2022-06-04
"US","National",2758,2022-06-04
"49","Utah",5,2022-06-04
"51","Virginia",48,2022-06-04
"50","Vermont",0,2022-06-04
"53","Washington",64,2022-06-04
"55","Wisconsin",14,2022-06-04
"54","West Virginia",6,2022-06-04
"56","Wyoming",9,2022-06-04
"02","Alaska",6,2022-06-11
"01","Alabama",18,2022-06-11
"05","Arkansas",20,2022-06-11
"04","Arizona",87,2022-06-11
"06","California",397,2022-06-11
"08","Colorado",33,2022-06-11
